tester,click_grid_1_rank,click_grid_2_rank
an,"['1_3.jpg', '1_4.jpg', '1_6.jpg', '1_2.jpg', '1_1.jpg', '1_5.jpg']","['2_2.jpg', '2_4.jpg', '2_5.jpg', '2_3.jpg', '2_6.jpg', '2_1.jpg']"
yz,"['1_2.jpg', '1_5.jpg', '1_3.jpg', '1_6.jpg', '1_4.jpg', '1_1.jpg']","['2_5.jpg', '2_2.jpg', '2_3.jpg', '2_1.jpg', '2_4.jpg', '2_6.jpg']"
lr,"['1_4.jpg', '1_6.jpg', '1_1.jpg', '1_5.jpg', '1_3.jpg', '1_2.jpg']","['2_6.jpg', '2_5.jpg', '2_3.jpg', '2_2.jpg', '2_4.jpg', '2_1.jpg']"
jt,"['1_4.jpg', '1_6.jpg', '1_1.jpg', '1_2.jpg', '1_3.jpg', '1_5.jpg']","['2_2.jpg', '2_5.jpg', '2_3.jpg', '2_1.jpg', '2_6.jpg', '2_4.jpg']"
yx,"['1_3.jpg', '1_6.jpg', '1_4.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg']","['2_3.jpg', '2_4.jpg', '2_6.jpg', '2_2.jpg', '2_1.jpg', '2_5.jpg']"
mr,"['1_6.jpg', '1_3.jpg', '1_4.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg']","['2_3.jpg', '2_1.jpg', '2_6.jpg', '2_5.jpg', '2_4.jpg', '2_2.jpg']"
yq,"['1_6.jpg', '1_4.jpg', '1_3.jpg', '1_1.jpg', '1_5.jpg', '1_2.jpg']","['2_4.jpg', '2_2.jpg', '2_5.jpg', '2_3.jpg', '2_6.jpg', '2_1.jpg']"
mh,"['1_1.jpg', '1_4.jpg', '1_3.jpg', '1_6.jpg', '1_2.jpg', '1_5.jpg']","['2_4.jpg', '2_6.jpg', '2_2.jpg', '2_5.jpg', '2_1.jpg', '2_3.jpg']"
hu,"['1_4.jpg', '1_5.jpg', '1_1.jpg', '1_3.jpg', '1_6.jpg', '1_2.jpg']","['2_4.jpg', '2_6.jpg', '2_5.jpg', '2_2.jpg', '2_1.jpg', '2_3.jpg']"
lf,"['1_2.jpg', '1_4.jpg', '1_6.jpg', '1_3.jpg', '1_5.jpg', '1_1.jpg']","['2_5.jpg', '2_4.jpg', '2_6.jpg', '2_3.jpg', '2_2.jpg', '2_1.jpg']"
hw,"['1_6.jpg', '1_2.jpg', '1_5.jpg', '1_1.jpg', '1_4.jpg', '1_3.jpg']","['2_3.jpg', '2_2.jpg', '2_6.jpg', '2_1.jpg', '2_4.jpg', '2_5.jpg']"
ts,"['1_6.jpg', '1_3.jpg', '1_2.jpg', '1_4.jpg', '1_1.jpg', '1_5.jpg']","['2_4.jpg', '2_3.jpg', '2_5.jpg', '2_6.jpg', '2_1.jpg', '2_2.jpg']"
huy,"['1_4.jpg', '1_5.jpg', '1_6.jpg', '1_3.jpg', '1_1.jpg', '1_2.jpg']","['2_4.jpg', '2_6.jpg', '2_5.jpg', '2_3.jpg', '2_1.jpg', '2_2.jpg']"
co,"['1_6.jpg', '1_3.jpg', '1_2.jpg', '1_4.jpg', '1_5.jpg', '1_1.jpg']","['2_1.jpg', '2_5.jpg', '2_6.jpg', '2_4.jpg', '2_3.jpg', '2_2.jpg']"
xiao,"['1_4.jpg', '1_6.jpg', '1_3.jpg', '1_5.jpg', '1_2.jpg', '1_1.jpg']","['2_5.jpg', '2_4.jpg', '2_1.jpg', '2_6.jpg', '2_3.jpg', '2_2.jpg']"
dao,"['1_4.jpg', '1_1.jpg', '1_6.jpg', '1_5.jpg', '1_3.jpg', '1_2.jpg']","['2_4.jpg', '2_5.jpg', '2_1.jpg', '2_3.jpg', '2_6.jpg', '2_2.jpg']"
