name,event,rank
hw,gaze_grid_1,"[{1: 1836}, {4: 1011}, {6: 366}, {2: 0}, {3: 0}, {5: 0}]"
hw,gaze_grid_2,"[{1: 1998}, {3: 1168}, {2: 1070}, {5: 1034}, {4: 0}, {6: 0}]"
lr,gaze_grid_1,"[{5: 6468}, {2: 1367}, {4: 1133}, {6: 951}, {1: 467}, {3: 434}]"
lr,gaze_grid_2,"[{5: 2886}, {6: 2681}, {4: 1932}, {3: 1765}, {1: 1250}, {2: 1216}]"
mh,gaze_grid_1,"[{1: 6186}, {4: 5134}, {6: 967}, {2: 0}, {3: 0}, {5: 0}]"
mh,gaze_grid_2,"[{2: 10200}, {3: 3617}, {4: 1101}, {5: 901}, {6: 585}, {1: 433}]"
ts,gaze_grid_1,"[{2: 3914}, {6: 3779}, {5: 2649}, {4: 551}, {1: 417}, {3: 367}]"
ts,gaze_grid_2,"[{2: 4216}, {3: 2166}, {5: 1923}, {6: 1871}, {1: 1733}, {4: 1144}]"
huy,gaze_grid_1,"[{5: 5641}, {4: 2522}, {1: 2400}, {6: 500}, {2: 0}, {3: 0}]"
huy,gaze_grid_2,"[{1: 5015}, {6: 349}, {2: 0}, {3: 0}, {4: 0}, {5: 0}]"
jt,gaze_grid_1,"[{2: 2167}, {1: 2034}, {6: 1347}, {5: 899}, {4: 501}, {3: 0}]"
jt,gaze_grid_2,"[{5: 1169}, {3: 932}, {1: 367}, {4: 366}, {2: 0}, {6: 0}]"
xiao,gaze_grid_1,"[{5: 2249}, {6: 2226}, {4: 2087}, {2: 1545}, {1: 303}, {3: 0}]"
xiao,gaze_grid_2,"[{6: 2607}, {2: 1836}, {3: 1576}, {4: 1198}, {1: 1177}, {5: 733}]"
an,gaze_grid_1,"[{1: 3779}, {2: 2407}, {3: 2204}, {4: 634}, {5: 0}, {6: 0}]"
an,gaze_grid_2,"[{2: 2364}, {6: 2083}, {3: 1565}, {1: 1503}, {5: 367}, {4: 0}]"
co,gaze_grid_1,"[{6: 1671.0}, {4: 1634.0}, {5: 1345.0}, {1: 1000.0}, {3: 937.0}, {2: 367.0}]"
co,gaze_grid_2,"[{4: 2891.0}, {5: 848.0}, {1: 464.0}, {3: 399.0}, {6: 331.0}, {2: 0}]"
yz,gaze_grid_1,"[{2: 1430}, {1: 1335}, {3: 532}, {4: 334}, {5: 0}, {6: 0}]"
yz,gaze_grid_2,"[{2: 2868}, {3: 600}, {6: 433}, {5: 400}, {4: 334}, {1: 0}]"
yx,gaze_grid_1,"[{5: 2784}, {2: 1898}, {4: 1416}, {1: 869}, {3: 768}, {6: 433}]"
yx,gaze_grid_2,"[{1: 3099}, {5: 2154}, {4: 1997}, {3: 1769}, {2: 1699}, {6: 1663}]"
hu,gaze_grid_1,"[{6: 6335}, {2: 2794}, {3: 2128}, {5: 629}, {1: 365}, {4: 0}]"
hu,gaze_grid_2,"[{2: 2161}, {5: 2063}, {4: 1127}, {6: 864}, {1: 798}, {3: 368}]"
mr,gaze_grid_1,"[{2: 2268}, {1: 1052}, {5: 900}, {3: 667}, {6: 466}, {4: 0}]"
mr,gaze_grid_2,"[{2: 2035}, {4: 1765}, {5: 1630}, {1: 1368}, {6: 798}, {3: 365}]"
yq,gaze_grid_1,"[{1: 2302}, {5: 2236}, {2: 1683}, {3: 1451}, {6: 1221}, {4: 584}]"
yq,gaze_grid_2,"[{1: 1944}, {5: 1678}, {2: 1312}, {3: 1152}, {4: 754}, {6: 0}]"
lf,gaze_grid_1,"[{3: 2534}, {5: 1300}, {1: 970}, {6: 818}, {2: 766}, {4: 465}]"
lf,gaze_grid_2,"[{5: 1386}, {4: 966}, {2: 916}, {1: 851}, {6: 731}, {3: 335}]"
dao,gaze_grid_1,"[{5: 1936}, {3: 770}, {4: 664}, {1: 463}, {6: 432}, {2: 431}]"
dao,gaze_grid_2,"[{6: 6336}, {1: 498}, {5: 348}, {2: 0}, {3: 0}, {4: 0}]"
